team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
New York Cosmos,NY Cosmos,2026,USA,4,2,2,0,1,1,0,0,0,0,3,1,2,0.75,1.5,0,13,9,17,13,6,9,-3,15,6,9,3,3,3,6,0,-3,60,60,60,40,60,30,1,1,0,3,1,2,0,0,0,1,1,0,14,3,11,5,2,3,43,34,52,41,16,25,18,9,9,23,7,16,48,19,29,2,1,1,4,0,4,-2,1,-3,1,1,0,2,1,1,1,0,1,1.25,2,0.5,3.75,3,4.5,1.5,1.5,1.5,2.25,1.5,3,1.5,0.5,2.5,0.5,0.5,0.5,1,0,2,4,4,3,3,1,0,2,2,1,1,0,0,2,2,2,2,1,0,0,0,1,1,3,4,0,0,1,1,2,2,0,0,0,0,1,2,100,100,75,75,25,0,100,100,50,50,0,0,100,100,100,100,50,0,0,0,25,25,75,100,0,0,50,50,100,100,0,0,0,0,50,100,3,2,1,1,0,0,2,2,1,75,50,25,50,0,0,100,100,50,25,50,0,17,25,50,0,75,50,100,0,0,0,25,50,0,2,2,0,50,100,0,2,1,1,50,50,50,1,0,1,25,0,50,25,50,0,50,50,50,25,0,50,3.50,1.50,5.50,1.25,1,1.50,75,75,25,25,0,0,0,0,1.27,1.19,1.35,1.55,1.64,1.48,150,0,0,2,0,2,0,0,2,0,1,0,1,1,1,2,1,1,1,0,0,0,75,50,100,0
Charlotte Independence,Charlotte Independence,2026,USA,2,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,7,7,8,7,5,1,4,6,4,2,4,1,0,1,4,0,36,23,90,180,0,90,1,1,0,1,0,1,0,0,0,1,1,0,13,4,9,4,1,3,51,41,61,36,16,20,10,5,5,26,11,15,23,15,8,3,3,0,1,0,1,2,3,-1,1,1,0,0,0,0,1,0,1,1.5,3,0,3,4,2,2.5,4,1,0.5,0,1,2,3,1,1.5,3,0,0.5,0,1,2,2,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1,0,0,1,1,1,1,100,100,50,50,0,0,100,100,100,100,0,0,100,100,0,0,0,0,0,0,50,50,100,100,0,0,0,0,100,100,0,0,100,100,100,100,2,1,1,1,1,1,1,0,0,100,50,50,100,100,100,100,0,0,50,100,0,80,50,100,0,50,0,100,0,0,0,50,100,0,1,1,0,50,100,0,1,0,1,50,0,100,0,0,0,0,0,0,50,100,0,0,0,0,50,0,100,6.50,4.00,9.00,2,1,3.00,100,100,100,100,100,100,100,0,1.78,1.74,1.81,1.15,1.36,0.94,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,50,0,100,0,0,0,0
Richmond Kickers,Richmond Kickers,2026,USA,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,15,18,9,15,1,3,-2,4,1,3,0,1,1,2,-1,-1,273,0,180,90,90,90,0,0,0,1,0,1,2,1,1,1,0,1,14,8,6,10,7,3,32,37,30,27,11,16,7,4,3,20,7,13,39,12,27,1,0,1,2,1,1,-1,-1,0,0,0,0,2,0,2,1,1,0,0.67,0,1,1.33,1,1.5,0.33,0,0.5,1,1,1,1,1,1,0.33,0,0.5,0.67,1,0.5,3,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,3,3,3,3,0,1,1,1,1,1,0,1,2,2,2,2,100,33,0,0,0,0,100,0,0,0,0,0,100,50,0,0,0,0,0,67,100,100,100,100,0,100,100,100,100,100,0,50,100,100,100,100,2,1,0,1,0,0,1,1,0,67,33,0,100,0,0,50,50,0,0,0,0,0,0,0,0,33,0,50,67,100,50,33,0,50,1,0,1,33,0,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,67,0,100,33,100,0,4.67,8.00,3.00,3.33,7,1.50,100,100,100,67,0,0,0,0,1.03,1.21,0.94,1.71,0.99,2.08,33,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,33,0,50,67,100,50,0
Corpus Christi FC,Corpus Christi,2026,USA,3,0,3,0,0,0,0,2,0,2,1,0,1,0.67,0,0.67,14,13,7,14,3,4,-1,7,0,7,0,3,0,4,0,-1,90,0,90,68,0,68,1,0,1,2,0,2,1,0,1,0,0,0,10,0,10,8,0,8,40,0,40,28,0,28,9,0,9,19,0,19,43,0,43,1,0,1,2,0,2,-1,0,-1,0,0,0,2,0,2,1,0,1,0.67,0,0.67,2.33,0,2.33,1,0,1,1.33,0,1.33,1,0,1,0.33,0,0.33,0.67,0,0.67,2,2,2,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,1,1,1,2,3,3,0,0,0,0,0,0,1,1,1,2,3,3,67,67,67,33,0,0,0,0,0,0,0,0,67,67,67,33,0,0,33,33,33,67,100,100,0,0,0,0,0,0,33,33,33,67,100,100,2,1,0,0,0,0,2,1,0,67,33,0,0,0,0,67,33,0,0,0,0,0,33,0,33,67,0,67,33,0,33,0,0,0,1,0,1,33,0,33,2,0,2,67,0,67,1,0,1,33,0,33,0,0,0,67,0,67,33,0,33,3.33,0.00,3.33,2.67,0,2.67,100,100,100,67,33,0,0,0,0.68,0.00,1.02,1.45,0.00,1.79,33,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,67,0,67,33,0,33,0
South Georgia Tormenta FC,South Georgia Tormenta FC,2026,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenville Triumph SC,Greenville Triumph,2026,USA,3,3,0,0,2,2,0,0,0,0,1,1,0,2,2,0,4,3,12,4,8,6,2,14,14,0,8,0,6,0,2,0,34,34,0,45,45,0,0,0,0,3,3,0,0,0,0,3,3,0,12,12,0,3,3,0,55,55,0,49,49,0,23,23,0,26,26,0,40,40,0,5,5,0,2,2,0,3,3,0,1,1,0,2,2,0,0,0,0,1.67,1.67,0,4.67,4.67,0,2.67,2.67,0,2,2,0,2.33,2.33,0,1.67,1.67,0,0.67,0.67,0,3,3,3,2,2,1,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,100,100,100,67,67,33,100,100,100,67,67,33,0,0,0,0,0,0,0,0,0,33,33,67,0,0,0,33,33,67,0,0,0,0,0,0,3,3,1,3,3,1,0,0,0,100,100,33,100,100,33,0,0,0,67,67,0,0,0,0,0,100,100,0,0,0,0,100,100,0,1,1,0,33,33,0,0,0,0,0,0,0,2,2,0,67,67,0,33,33,0,67,67,0,0,0,0,4.00,4.00,0.00,1,1,0.00,100,100,67,67,33,0,0,0,1.59,1.92,0.00,0.93,1.26,0.00,167,2,0,1,1,1,2,1,0,0,0,0,1,1,0,1,2,1,0,0,0,0,33,33,0,0
Forward Madison FC,Forward Madison,2026,USA,2,0,2,0,2,0,2,0,0,0,0,0,0,3,0,3,3,15,1,3,3,1,2,4,0,4,0,3,0,1,0,2,60,0,60,180,0,180,1,0,1,1,0,1,0,0,0,1,0,1,10,0,10,6,0,6,38,0,38,18,0,18,8,0,8,10,0,10,18,0,18,3,0,3,1,0,1,2,0,2,2,0,2,0,0,0,0,0,0,3,0,3,2,0,2,1.5,0,1.5,0.5,0,0.5,2,0,2,1.5,0,1.5,0.5,0,0.5,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,1,1,2,2,2,100,50,50,0,0,0,0,0,0,0,0,0,100,50,50,0,0,0,0,50,50,100,100,100,0,0,0,0,0,0,0,50,50,100,100,100,2,1,1,0,0,0,2,1,1,100,50,50,0,0,0,100,50,50,100,0,100,0,50,0,50,50,0,50,0,0,0,50,0,50,1,0,1,50,0,50,0,0,0,0,0,0,1,0,1,50,0,50,100,0,100,0,0,0,0,0,0,5.00,0.00,5.00,3,0,3.00,100,100,100,100,100,100,100,50,0.61,0.00,1.11,0.94,0.00,1.44,50,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattanooga Red Wolves SC,Chattanooga Red Wolves,2026,USA,2,0,2,0,1,0,1,1,0,1,0,0,0,2,0,2,9,12,3,9,4,3,1,7,0,7,0,4,0,3,0,1,45,0,45,60,0,60,0,0,0,2,0,2,0,0,0,0,0,0,10,0,10,6,0,6,28,0,28,19,0,19,7,0,7,12,0,12,33,0,33,3,0,3,2,0,2,1,0,1,1,0,1,1,0,1,0,0,0,2,0,2,3.5,0,3.5,2,0,2,1.5,0,1.5,2.5,0,2.5,1.5,0,1.5,1,0,1,2,2,2,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,2,2,100,100,100,50,0,0,0,0,0,0,0,0,100,100,100,50,0,0,0,0,0,50,100,100,0,0,0,0,0,0,0,0,0,50,100,100,2,2,1,0,0,0,2,2,1,100,100,50,0,0,0,100,100,50,50,0,50,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,100,0,100,50,0,50,50,0,50,0,0,0,5.00,0.00,5.00,3,0,3.00,100,100,100,100,100,50,50,50,0.65,0.00,1.15,0.95,0.00,1.45,100,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,50,0,50,0,0,0,0
Union Omaha,Union Omaha,2026,USA,3,2,1,0,2,2,0,0,0,0,1,0,1,2,3,0,5,2,15,5,5,4,1,9,8,1,5,0,3,1,2,-1,54,36,0,68,60,90,0,0,0,2,2,0,1,0,1,2,2,0,12,8,4,5,4,1,59,59,59,44,34,10,14,12,2,30,22,8,43,30,13,2,2,0,1,1,0,1,1,0,1,1,0,2,1,1,0,0,0,1.67,2,1,3,4,1,1.67,2.5,0,1.33,1.5,1,1,1.5,0,0.67,1,0,0.33,0.5,0,3,2,2,1,1,0,2,2,2,1,1,0,1,0,0,0,0,0,0,1,1,2,2,3,0,0,0,1,1,2,0,1,1,1,1,1,100,67,67,33,33,0,100,100,100,50,50,0,100,0,0,0,0,0,0,33,33,67,67,100,0,0,0,50,50,100,0,100,100,100,100,100,2,1,0,2,1,0,0,0,0,67,33,0,100,50,0,0,0,0,67,100,0,19,0,0,0,67,100,0,33,0,100,67,100,0,2,1,1,67,50,100,1,0,1,33,0,100,1,1,0,33,50,0,33,50,0,67,50,100,0,0,0,4.00,4.00,4.00,1.67,2,1.00,33,33,33,0,0,0,0,0,1.73,1.93,1.33,1.08,1.13,0.96,33,0,1,1,0,0,0,0,1,2,0,0,1,0,0,0,1,0,2,0,0,0,33,0,100,0
Fort Wayne FC,Fort Wayne,2026,USA,3,0,3,0,0,0,0,1,0,1,2,0,2,0.33,0,0.33,17,14,10,17,2,6,-4,8,0,8,0,2,0,6,0,-4,134,0,134,45,0,45,0,0,0,1,0,1,2,0,2,1,0,1,17,0,17,7,0,7,57,0,57,39,0,39,11,0,11,28,0,28,37,0,37,2,0,2,3,0,3,-1,0,-1,1,0,1,0,0,0,2,0,2,1,0,1,2.67,0,2.67,0.67,0,0.67,2,0,2,1.67,0,1.67,0.67,0,0.67,1,0,1,3,3,1,1,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,2,2,3,3,100,100,33,33,0,0,0,0,0,0,0,0,100,100,33,33,0,0,0,0,67,67,100,100,0,0,0,0,0,0,0,0,67,67,100,100,3,1,1,0,0,0,3,1,1,100,33,33,0,0,0,100,33,33,0,0,0,0,0,0,0,33,0,33,67,0,67,33,0,33,0,0,0,0,0,0,2,0,2,67,0,67,1,0,1,33,0,33,33,0,33,0,0,0,67,0,67,5.67,0.00,5.67,2.33,0,2.33,100,100,33,33,33,33,33,33,1.12,0.00,1.46,0.93,0.00,1.26,67,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,1,0,1,33,0,33,67,0,67,33
One Knoxville SC,One Knoxville,2026,USA,4,3,1,0,2,1,1,1,1,0,1,1,0,1.75,1.33,3,2,5,5,2,5,4,1,9,4,5,2,3,2,2,0,1,72,134,30,90,134,45,2,2,0,2,1,1,1,1,0,3,2,1,31,25,6,9,8,1,55,61,34,60,47,13,23,16,7,37,31,6,60,43,17,4,1,3,3,2,1,1,-1,2,1,0,1,2,2,0,1,1,0,1.25,0.67,3,2.25,1.33,5,1.25,0.67,3,1,0.67,2,1.75,1,4,1,0.33,3,0.75,0.67,1,3,2,2,1,1,0,2,1,1,0,0,0,1,1,1,1,1,0,1,2,2,3,3,4,1,2,2,3,3,3,0,0,0,0,0,1,75,50,50,25,25,0,67,33,33,0,0,0,100,100,100,100,100,0,25,50,50,75,75,100,33,67,67,100,100,100,0,0,0,0,0,100,2,2,2,1,1,1,1,1,1,50,50,50,33,33,33,100,100,100,50,33,100,-7,50,67,0,50,33,100,25,33,0,75,67,100,2,2,0,50,67,0,2,2,0,50,67,0,2,1,1,50,33,100,25,0,100,50,67,0,25,33,0,7.75,8.33,6.00,2.25,2.67,1.00,100,75,75,75,50,25,25,25,1.69,1.66,1.76,1.01,0.92,1.26,75,0,2,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,25,33,0,25,33,0,0
Spokane Velocity FC,Spokane Velocity,2026,USA,3,2,1,0,2,2,0,0,0,0,1,0,1,2,3,0,6,1,18,6,4,5,-1,9,5,4,4,0,1,4,3,-4,68,45,0,54,180,23,1,1,0,1,1,0,1,0,1,2,2,0,15,6,9,5,3,2,49,44,59,29,16,13,8,7,1,21,9,12,29,21,8,3,3,0,3,0,3,0,3,-3,1,1,0,1,1,0,1,0,1,1.33,2,0,3,2.5,4,1.33,2,0,1.67,0.5,4,2,1.5,3,1,1.5,0,1,0,3,3,2,2,2,0,0,2,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,3,3,0,1,1,1,2,2,0,0,0,0,1,1,100,67,67,67,0,0,100,50,50,50,0,0,100,100,100,100,0,0,0,33,33,33,100,100,0,50,50,50,100,100,0,0,0,0,100,100,2,2,2,1,1,1,1,1,1,67,67,67,50,50,50,100,100,100,67,100,0,60,33,50,0,33,50,0,33,0,100,67,100,0,2,2,0,67,100,0,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,33,50,0,33,0,100,5.00,3.00,9.00,1.67,1.5,2.00,67,67,67,67,33,33,33,0,1.18,1.10,1.36,1.51,1.40,1.74,67,0,0,1,1,1,0,1,0,0,1,0,1,0,2,0,0,1,0,0,0,0,33,0,100,0
