Player Name,Position,Age,Matches Played,Minutes Played,90s,90s_final,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,90s_shoot,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches_shoot,90s_misc,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches_misc,Chances created,Shots,Age_tm,In squad,Appearances,Goals,Assists,Yellow Cards,Second yellow cards,Red Cards,Minutes Played,PPG,Gls_per90,Sh_per90,SoT_per90,Chances created_per90,Shots_per90,Int_per90,TklW_per90,Crs_per90,Fls_per90,Fld_per90,CrdY_per90,CrdR_per90,PKwon_per90,PKcon_per90,OG_per90,Assists_per90,Goals_per90,Threat_Score_Raw,Threat_Score_0_100
Hunter Morse,GK,26,28,2520,28,28,90,93.3,28,90,28,0,,2,1.63,47,35,12,0.43,1.43,,28,0,1,0,0,0.04,0,0,,0,0,,28,6,0,0,1,7,0,0,0,0,0,0,0,,0,0,25,30,28,0,0,5,,,2520,1.61,0,0.035714286,0,0,0,0,0,0,0.035714286,0.25,0.21428571428571427,0,0,0,0,0,0,0,0
Jaden Jones-Riley,DF,23,3,194,2.2,2.2,65,7.2,2,90,2,1,14,0,0.67,1,2,-1,-0.46,-0.86,,2.2,0,0,0,,0,0,,,0,0,,2.2,1,0,0,0,3,0,7,4,3,0,0,0,,0,0,22,3,3,0,0,1,,,193,0.67,0,0,0,0,0,1.8181818181818181,1.3636363636363635,3.1818181818181817,0,1.3636363636363635,0.45454545454545453,0,0,0,0,0,0,0,0
Jay Tee Kamara,MF,22,24,1180,13.1,13.1,49,43.7,12,74,3,12,25,0,1.68,24,11,13,0.99,1.17,,13.1,6,28,16,57.1,2.14,1.22,0.21,0.38,0,0,,13.1,2,1,0,18,14,0,51,4,14,0,0,0,,19,20,22,24,24,5,4,2,,1,1179,1.71,0.4580152671755725,2.1374045801526718,1.2213740458015268,1.450381679389313,1.5267175572519085,0.3053435114503817,1.0687022900763359,3.8931297709923665,1.3740458015267176,1.0687022900763359,0.15267175572519084,0.076335878,0,0,0,0.3053435114503817,0.3816793893129771,0.9847328244274809,84.85463699853825
Kashope Oladapo,GK,22,2,180,2,2,90,6.7,2,90,2,0,,28,0,1,3,-2,-1,-1.43,,2,0,0,0,,0,0,,,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemali Green,DF,24,22,1923,21.4,21.4,87,71.2,22,87,20,0,,2,1.67,34,26,8,0.37,0.14,,21.4,1,7,1,14.3,0.33,0.05,0.14,1,0,0,,21.4,5,0,0,16,6,0,1,6,12,0,0,0,,0,0,24,24,22,1,1,5,,,1925,1.64,0.046728972,0.3271028037383178,0.046728972,0,0,0.28037383177570097,0.5607476635514019,0.046728972,0.7476635514018692,0.28037383177570097,0.23364485981308414,0,0,0,0,0.046728972,0.046728972,0.03271028,2.818651819447207
Khalid Hersi,MF,20,1,1,0,0,1,0,0,,0,1,1,1,0,0,0,0,0,-0.33,,0,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,19,2,1,0,0,,,,1,0,,,,,,,,,,,,,,,,,,,
Masashi Wada,"MF,FW",27,26,2108,23.4,23.4,81,78.1,24,85,14,2,39,1,1.63,42,31,11,0.47,0.62,,23.4,9,37,20,54.1,1.58,0.85,0.24,0.45,0,1,,23.4,6,1,1,38,43,2,35,5,13,0,0,0,,31,36,27,27,26,9,0,4,1,,2117,1.65,0.38461538461538464,1.5811965811965814,0.8547008547008548,1.324786324786325,1.5384615384615385,0.2136752136752137,0.5555555555555556,1.4957264957264957,1.623931623931624,1.8376068376068377,0.25641025641025644,0.042735042735042736,0,0,0,0,0.38461538461538464,0.8076923076923077,69.59901800327334
Michel Poon-Angeron,MF,23,28,2039,22.7,22.7,73,75.5,23,79,8,5,44,0,1.6,33,21,12,0.53,0.8,,22.7,0,15,3,20,0.66,0.13,0,0,0,0,,22.7,8,1,1,37,8,0,15,22,36,0,0,0,,20,14,23,28,28,0,2,6,1,,2050,1.57,0,0.6607929515418502,0.13215859030837004,0.881057269,0.6167400881057269,0.9691629955947136,1.5859030837004406,0.6607929515418502,1.6299559471365639,0.3524229074889868,0.3524229074889868,0.044052863,0,0,0,0.088105727,0,0.3039647577092511,26.192707845158875
Mikey Lopez,"MF,DF",31,29,2303,25.6,25.6,79,85.3,26,86,24,3,24,0,1.58,46,34,12,0.47,0.92,,25.6,0,17,0,0,0.66,0,0,,0,0,,25.6,13,0,0,56,25,1,14,37,49,0,0,0,,17,11,31,29,29,0,2,13,,,2301,1.55,0,0.6640625,0,0.6640625,0.4296875,1.4453125,1.9140625,0.546875,2.1875,0.9765625,0.5078125,0,0,0,0,0.078125,0,0.19921875,17.166722074468087
Mo Mohamed,"DF,MF",22,15,677,7.5,7.5,45,25.1,6,85,4,9,19,3,1.41,11,9,2,0.27,-0.09,,7.5,0,5,1,20,0.66,0.13,0,0,0,0,,7.5,1,0,0,9,6,0,15,9,14,0,0,0,,0,0,21,18,15,0,0,1,,,672,1.33,0,0.6666666666666666,0.13333333333333333,0,0,1.2,1.8666666666666667,2,1.2,0.8,0.13333333333333333,0,0,0,0,0,0,0.04,3.446808510638298
Ollie Wright,MF,25,30,2190,24.3,24.3,73,81.1,25,82,11,5,26,0,1.53,41,30,11,0.45,0.63,,24.3,9,56,21,37.5,2.3,0.86,0.09,0.24,4,4,,24.3,6,0,0,23,24,5,69,25,12,0,0,0,,61,43,25,30,30,9,8,6,,,2199,1.5,0.37037037037037035,2.304526748971193,0.8641975308641975,2.5102880658436213,1.7695473251028806,1.028806584,0.49382716049382713,2.839506172839506,0.9465020576131687,0.9876543209876543,0.24691358024691357,0,0,0,0,0.3292181069958848,0.37037037037037035,1.1604938271604937,100
