player_name,pos,threat_score_0_100,gls_per90,chances_created_per90,match_minute_decay,id,created_date,updated_date,created_by_id,created_by,is_sample
Walter Varela,MF,41.14,0.129,0.903,0.008,697620edc0c402efa6591bc2,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Hunter Morse,GK,0,0,0,0.008,697620edc0c402efa6591bac,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Mikey Lopez,MF,17.17,0,0.664,0.008,697620edc0c402efa6591bb6,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Nathaniel James,MF,82.5,0.638,1.489,0.008,697620edc0c402efa6591bb8,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Jay Tee Kamara,MF,84.85,0.458,1.45,0.008,697620edc0c402efa6591baf,2026-01-25T13:55:57.501000,2026-02-27T15:36:29.497000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Kashope Oladapo,GK,0,0,0,0.008,697620edc0c402efa6591bb0,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Masashi Wada,MF,69.6,0.385,1.325,0.008,697620edc0c402efa6591bb3,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Jaden Jones Riley,DF,0,0,0,0.008,697620edc0c402efa6591bad,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Kemali Green,DF,2.82,0.047,0,0.008,697620edc0c402efa6591bb1,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Ollie Wright,MF,100,0.37,2.51,0.008,697620edc0c402efa6591bbb,2026-01-25T13:55:57.501000,2026-02-27T15:36:28.184000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Khalid Hersi,MF,0,0,0,0.008,697620edc0c402efa6591bb2,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Michael Reilly,MF,5.74,0,0,0.008,697620edc0c402efa6591bb4,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Michel Poon-Angeron,MF,26.19,0,0.881,0.008,697620edc0c402efa6591bb5,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Titus Washington,FW,69.4,0.27,1.027,0.008,697620edc0c402efa6591bc1,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
Mohamed Mohamed,DF,3.45,0,0,0.008,697620edc0c402efa6591bb7,2026-01-25T13:55:57.501000,2026-01-25T13:55:57.501000,69761a4dd54fc8e923822277,alfredaburgess@gmail.com,FALSE
